character,offset,finger,need_modify
"7",0,4,0
"&",0,4,1
"8",0,3,0
"*",0,3,1
"z",0,2,0
"a",0,1,0
"e",0,1,0
"h",0,1,0
"t",0,1,0
"d",0,2,0
"c",0,3,0
"k",0,4,0
"-",0,4,0
"_",0,4,1
"5",1,4,0
"%",1,4,1
"6",1,3,0
"^",1,3,1
"q",1,2,0
".",1,1,0
">",1,1,1
"o",1,1,0
"r",1,1,0
"s",1,1,0
"u",1,2,0
"y",1,3,0
"b",1,4,0
";",1,4,0
":",1,4,1
"=",1,4,0
"+",1,4,1
"\",1,4,0
"|",1,4,1
"9",1,4,0
"(",1,4,1
"0",1,3,0
")",1,3,1
"x",1,2,0
",",1,1,0
"<",1,1,1
"i",1,1,0
"n",1,1,0
"w",1,2,0
"v",1,3,0
"v",1,4,0
"'",1,4,0
"""",1,4,1
"`",2,4,0
"~",2,4,1
"1",2,4,0
"!",2,4,1
"2",2,3,0
"@",2,3,1
"3",2,2,0
"#",2,2,1
"4",2,1,0
"$",2,1,1
"j",2,1,1
"l",2,1,1
"m",2,1,1
"f",2,2,0
"p",2,3,0
"/",2,4,0
"?",2,4,1
"[",2,4,0
"{",2,4,1
"]",2,4,0
"}",2,4,1
